Height 8 Width 30 Name QuitMenuNo
Char -38 BG 0 FG 4
Char -77 BG 0 FG 4
Char -77 BG 0 FG 4
Char -77 BG 0 FG 4
Char -77 BG 0 FG 4
Char -77 BG 0 FG 4
Char -77 BG 0 FG 4
Char -64 BG 0 FG 4
Char -60 BG 0 FG 4
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 4
Char -60 BG 0 FG 4
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 4
Char -60 BG 0 FG 4
Char 32 BG 0 FG 15
Char 87 BG 0 FG 12
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 4
Char -60 BG 0 FG 4
Char 32 BG 0 FG 15
Char 111 BG 0 FG 12
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 4
Char -60 BG 0 FG 4
Char 32 BG 0 FG 15
Char 117 BG 0 FG 12
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 4
Char -60 BG 0 FG 4
Char 32 BG 0 FG 15
Char 108 BG 0 FG 12
Char 32 BG 0 FG 15
Char 32 BG 0 FG 4
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 4
Char -60 BG 0 FG 4
Char 32 BG 0 FG 15
Char 100 BG 0 FG 12
Char 32 BG 0 FG 15
Char 89 BG 0 FG 4
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 4
Char -60 BG 0 FG 4
Char 32 BG 0 FG 15
Char 32 BG 0 FG 12
Char 32 BG 0 FG 15
Char 101 BG 0 FG 4
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 4
Char 32 BG 0 FG 12
Char 32 BG 0 FG 15
Char 121 BG 0 FG 12
Char 32 BG 0 FG 15
Char 115 BG 0 FG 4
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 4
Char 81 BG 0 FG 12
Char 32 BG 0 FG 15
Char 111 BG 0 FG 12
Char 32 BG 0 FG 15
Char 32 BG 0 FG 4
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 4
Char 117 BG 0 FG 12
Char 32 BG 0 FG 15
Char 117 BG 0 FG 12
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 4
Char 105 BG 0 FG 12
Char 32 BG 0 FG 15
Char 32 BG 0 FG 12
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 4
Char 116 BG 0 FG 12
Char 32 BG 0 FG 15
Char 108 BG 0 FG 12
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 4
Char 32 BG 0 FG 12
Char 32 BG 0 FG 15
Char 105 BG 0 FG 12
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
