Height 50 Width 120 Name HomeBase
Char -38 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -77 BG 0 FG 6
Char -64 BG 0 FG 6
Char -60 BG 0 FG 6
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char -60 BG 0 FG 6
Char -60 BG 0 FG 6
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char 32 BG 0 FG 8
Char -60 BG 0 FG 6
Char -60 BG 0 FG 6
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char 32 BG 0 FG 15
Char -60 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
Char 32 BG 0 FG 6
